lu_id,smiles_canonical,inchikey,leaving_group,delta_g_kJmol,dg_kcal,EA,ESP1,ESP2,exp_dg_kcal,status,delta_g_qh_kcal,delta_g_kcal,delta_e_kcal,n_imag_ts,ts_imag_freq_cm
61,Cc1ccnc(Cl)c1,MZVSTDHRRYQFGI-UHFFFAOYSA-N,Cl,91.25598260826878,21.811,-67.5409,28.9758736,-42.59726216000001,21.810703300255444,,,,,,
62,CC(C)(C)Oc1cccc(Cl)n1,PLDRTFJRLUKTTA-UHFFFAOYSA-N,Cl,91.69175280637998,21.915,-75.25986,23.27739112,-26.10431072,21.91485487724187,,,,,,
63,Cc1ccc(Cl)nc1,VXLYOURCUVQYLN-UHFFFAOYSA-N,Cl,94.25519807387953,22.528,-63.35722368010244,27.59758032,-24.935342960000003,22.527533000449218,,,,,,
64,COc1cccnc1Cl,CCVNZKGBNUPYPG-UHFFFAOYSA-N,Cl,94.35269775661808,22.551,-71.35696085019825,25.55039096,-28.55421007999999,22.550835983895336,,,,,,
65,COc1ccc(Cl)nc1,ZXGHKJHRHVDMSW-UHFFFAOYSA-N,Cl,95.61490606374971,22.853,-58.27814799993822,24.216782800000004,-15.542053759999998,22.852511009500407,,,,,,
66,Fc1ccnc(Cl)c1,FGSAQRJRWCZLOB-UHFFFAOYSA-N,F,72.59537568126132,17.351,-56.87619188990183,84.42312024,44.08274952,17.35071120489037,,,,,,
67,Fc1cccc(Cl)n1,LXOHKRGLGLETIJ-UHFFFAOYSA-N,F,74.98609266278805,17.922,-39.71115459002033,80.2464004,44.11873192,17.922106276956992,,,,,,
68,Cc1cnc(Cl)c(F)c1,XZJURWKNRAGMCG-UHFFFAOYSA-N,F,79.3835973028387,18.973,-38.24165757993507,70.42270312000001,142.54657880000002,18.9731351106211,,,,,,
69,Fc1cccnc1Cl,SVAZIMBLBHOVIR-UHFFFAOYSA-N,F,79.39907799580182,18.977,-40.24279796027957,79.83456928,166.12848144,18.976835085038676,,,,,,
70,Fc1cc(F)cc(Br)c1,JHLKSIOJYMGSMB-UHFFFAOYSA-N,F,80.85362444583961,19.324,-60.96241633952329,63.99775272,119.66168872,19.32448003007639,,,,,,
71,Fc1ccc(Br)nc1,UODINHBLNPPDPD-UHFFFAOYSA-N,F,81.20606358639446,19.409,-25.57387935017298,81.20114736000001,177.91397264000005,19.408715006308427,,,,,,
72,Fc1ccc(Cl)nc1,QOGXQLSFJCIDNY-UHFFFAOYSA-N,F,82.16081137892843,19.637,-32.00956225011513,78.99458944,175.28378472,19.63690520528882,,,,,,
73,Fc1ccc(Br)cc1,AITNMTXHTIIIBB-UHFFFAOYSA-N,F,90.35790526360384,21.596,-64.18990648977714,43.979823120000006,70.0037592,21.59605766338524,,,,,,
74,Fc1ccc(Cl)cc1,RJCGZNCCVKIBHO-UHFFFAOYSA-N,F,91.23120172022765,21.805,-82.89777091999753,42.115767440000006,68.86228032000001,21.804780525867027,,,,,,
